t,gov_deficit,delta_bonds,cb_ops,delta_deposits,identity_ok
1,15.200000,15.200000,0.000000,0.000000,True
2,15.233200,15.233200,0.000000,0.000000,True
3,15.266478,15.266478,0.000000,0.000000,True
4,15.299835,15.299835,0.000000,0.000000,True
5,15.333270,15.333270,0.000000,0.000000,True
6,15.366784,15.366784,0.000000,0.000000,True
7,15.400377,15.400377,0.000000,0.000000,True
8,15.434049,15.434049,0.000000,0.000000,True
9,15.467800,15.467800,0.000000,0.000000,True
10,15.501631,15.501631,0.000000,0.000000,True
11,15.535542,15.535542,0.000000,0.000000,True
12,15.569533,15.569533,0.000000,0.000000,True
13,15.603603,15.603603,0.000000,0.000000,True
14,15.637754,15.637754,0.000000,0.000000,True
15,15.671986,15.671986,0.000000,0.000000,True
16,15.706298,15.706298,0.000000,0.000000,True
17,15.740692,15.740692,0.000000,0.000000,True
18,15.775166,15.775166,0.000000,0.000000,True
19,15.809722,15.809722,0.000000,0.000000,True
20,15.844359,15.844359,0.000000,0.000000,True
21,15.879078,15.879078,0.000000,0.000000,True
22,15.913878,15.913878,0.000000,0.000000,True
23,15.948761,15.948761,0.000000,0.000000,True
24,15.983727,15.983727,0.000000,0.000000,True
25,16.018774,16.018774,0.000000,0.000000,True
26,16.053905,16.053905,0.000000,0.000000,True
27,16.089118,16.089118,0.000000,0.000000,True
28,16.124414,16.124414,0.000000,0.000000,True
29,16.159794,16.159794,0.000000,0.000000,True
30,16.195257,16.195257,0.000000,0.000000,True
31,16.230804,16.230804,0.000000,0.000000,True
32,16.266435,16.266435,0.000000,0.000000,True
33,16.302150,16.302150,0.000000,0.000000,True
34,16.337950,16.337950,0.000000,0.000000,True
35,16.373834,16.373834,0.000000,0.000000,True
36,16.409802,16.409802,0.000000,0.000000,True
37,16.445856,16.445856,0.000000,0.000000,True
38,16.481995,16.481995,0.000000,0.000000,True
39,16.518219,16.518219,0.000000,0.000000,True
40,16.554529,16.554529,0.000000,0.000000,True
41,16.590924,16.590924,0.000000,0.000000,True
42,16.627406,16.627406,0.000000,0.000000,True
43,16.663973,16.663973,0.000000,0.000000,True
44,16.700627,16.700627,0.000000,0.000000,True
45,16.737368,16.737368,0.000000,0.000000,True
46,16.774196,16.774196,0.000000,0.000000,True
47,16.811110,16.811110,0.000000,0.000000,True
48,16.848112,16.848112,0.000000,0.000000,True
49,16.885202,16.885202,0.000000,0.000000,True
50,16.922379,16.922379,0.000000,0.000000,True
51,16.959644,16.959644,0.000000,0.000000,True
52,16.996997,16.996997,0.000000,0.000000,True
53,17.034439,17.034439,0.000000,0.000000,True
54,17.071969,17.071969,0.000000,0.000000,True
55,17.109587,17.109587,0.000000,0.000000,True
56,17.147295,17.147295,0.000000,0.000000,True
57,17.185092,17.185092,0.000000,0.000000,True
58,17.222979,17.222979,0.000000,0.000000,True
59,17.260955,17.260955,0.000000,0.000000,True
60,17.299020,17.299020,0.000000,0.000000,True
61,17.337176,17.337176,0.000000,0.000000,True
62,17.375423,17.375423,0.000000,0.000000,True
63,17.413760,17.413760,0.000000,0.000000,True
64,17.452187,17.452187,0.000000,0.000000,True
65,17.490706,17.490706,0.000000,0.000000,True
66,17.529315,17.529315,0.000000,0.000000,True
67,17.568016,17.568016,0.000000,0.000000,True
68,17.606809,17.606809,0.000000,0.000000,True
69,17.645694,17.645694,0.000000,0.000000,True
70,17.684670,17.684670,0.000000,0.000000,True
71,17.723739,17.723739,0.000000,0.000000,True
72,17.762901,17.762901,0.000000,0.000000,True
73,17.802155,17.802155,0.000000,0.000000,True
74,17.841502,17.841502,0.000000,0.000000,True
75,17.880943,17.880943,0.000000,0.000000,True
76,17.920477,17.920477,0.000000,0.000000,True
77,17.960104,17.960104,0.000000,0.000000,True
78,17.999826,17.999826,0.000000,0.000000,True
79,18.039641,18.039641,0.000000,0.000000,True
80,18.079551,18.079551,0.000000,0.000000,True
81,18.119555,18.119555,0.000000,0.000000,True
82,18.159655,18.159655,0.000000,0.000000,True
83,18.199849,18.199849,0.000000,0.000000,True
84,18.240139,18.240139,0.000000,0.000000,True
85,18.280524,18.280524,0.000000,0.000000,True
86,18.321005,18.321005,0.000000,0.000000,True
87,18.361582,18.361582,0.000000,0.000000,True
88,18.402255,18.402255,0.000000,0.000000,True
89,18.443024,18.443024,0.000000,0.000000,True
90,18.483891,18.483891,0.000000,0.000000,True
91,18.524854,18.524854,0.000000,0.000000,True
92,18.565914,18.565914,0.000000,0.000000,True
93,18.607072,18.607072,0.000000,0.000000,True
94,18.648327,18.648327,0.000000,0.000000,True
95,18.689681,18.689681,0.000000,0.000000,True
96,18.731132,18.731132,0.000000,0.000000,True
97,18.772682,18.772682,0.000000,0.000000,True
98,18.814330,18.814330,0.000000,0.000000,True
99,18.856077,18.856077,0.000000,0.000000,True
100,18.897923,18.897923,0.000000,0.000000,True
